birth.birthDate.date,birth.birthDate.full,birth.birthDate.month,birth.birthDate.year,birth.city,birth.country.abbreviation,birth.country.countryId,birth.country.name,birth.state.abbreviation,birth.state.name,birth.state.stateId,college.collegeId,college.commonName,college.fullName,death.deathDate.date,death.deathDate.full,death.deathDate.month,death.deathDate.year,displayId,displayName,draft.overallPickNumber,draft.round,draft.roundPickNumber,draft.team.abbreviation,draft.team.location,draft.team.nickname,draft.team.teamId,draft.year,experience.experience,experience.yearFirst,experience.yearRookie,firstName,height.centimeters,height.inches,highSchool.city,highSchool.country.abbreviation,highSchool.country.countryId,highSchool.country.name,highSchool.name,highSchool.state.abbreviation,highSchool.state.name,highSchool.state.stateId,hometown.city,hometown.country.abbreviation,hometown.country.countryId,hometown.country.name,hometown.state.abbreviation,hometown.state.name,hometown.state.stateId,isActive,isInjured,isSuspended,lastName,playerId,positions.name,team.abbreviation,team.location,team.nickname,team.teamId,uniform,weight.kilograms,weight.pounds
5.0,1987-10-05,10.0,1987.0,Nashville,USA,1.0,United States,TN,Tennessee,42.0,6.0,North Carolina,University of North Carolina,,,,,0,,8.0,1.0,8.0,Cha,Charlotte,Bobcats,5312.0,2007.0,8.0,2007.0,2007.0,Brandan,208.0,82.0,Nashville,USA,1.0,United States,Brentwood Academy,TN,Tennessee,42.0,Nashville,USA,1.0,United States,TN,Tennessee,42.0,True,True,False,Wright,329675,PF,Mem,Memphis,Grizzlies,29.0,34,108.86,240.0
8.0,1994-05-08,5.0,1994.0,Sheboygan,USA,1.0,United States,WI,Wisconsin,49.0,36.0,Wisconsin,University of Wisconsin,,,,,0,,18.0,1.0,18.0,Hou,Houston,Rockets,10.0,2015.0,,2015.0,2015.0,Sam,205.0,81.0,,,,,Sheboygan Lutheran HS,,,,Sheboygan,USA,1.0,United States,WI,Wisconsin,49.0,True,True,False,Dekker,691518,SF,Hou,Houston,Rockets,10.0,7,104.33,230.0
10.0,1988-03-10,3.0,1988.0,Fresno,USA,1.0,United States,CA,California,5.0,65.0,Washington,University of Washington,,,,,0,,26.0,1.0,26.0,OKC,Oklahoma City,Thunder,25.0,2010.0,5.0,2010.0,2010.0,Quincy,200.0,79.0,Fresno,USA,1.0,United States,San Joaquin Memorial HS,CA,California,5.0,Fresno,USA,1.0,United States,CA,California,5.0,True,True,False,Pondexter,329825,SF,NO,New Orleans,Pelicans,3.0,20,99.79,220.0
16.0,1982-10-16,10.0,1982.0,Minneapolis,USA,1.0,United States,MN,Minnesota,23.0,30.0,Michigan State,Michigan State University,,,,,0,,,,,,,,,,6.0,2005.0,2005.0,Alan,198.0,78.0,Minneapolis,USA,1.0,United States,De LaSalle High School,MN,Minnesota,23.0,Minneapolis,,,,,,,True,True,False,Anderson,66858,SG,Was,Washington,Wizards,27.0,6,99.79,220.0
5.0,1995-02-05,2.0,1995.0,Bronx,USA,1.0,United States,NY,New York,32.0,14.0,Syracuse,Syracuse University,,,,,0,,29.0,1.0,29.0,Bkn,Brooklyn,Nets,17.0,2015.0,,2015.0,2015.0,Chris,205.0,81.0,,,,,IMG Academy,,,,Bronx,USA,1.0,United States,NY,New York,32.0,True,True,False,McCullough,851153,PF,Bkn,Brooklyn,Nets,17.0,1,95.25,210.0
10.0,1987-05-10,5.0,1987.0,Benton Harbor,USA,1.0,United States,MI,Michigan,22.0,652.0,DePaul,DePaul University,,,,,0,,23.0,1.0,23.0,NY,New York,Knicks,18.0,2007.0,8.0,2007.0,2007.0,Wilson,203.0,80.0,Benton Harbor,USA,1.0,United States,Benton Harbor HS,MI,Michigan,22.0,Benton Harbor,USA,1.0,United States,MI,Michigan,22.0,True,True,False,Chandler,295941,SF,Den,Denver,Nuggets,7.0,21,102.06,225.0
21.0,1987-08-21,8.0,1987.0,Nashville,USA,1.0,United States,TN,Tennessee,42.0,69.0,Kentucky,University of Kentucky,,,,,0,,41.0,2.0,11.0,Mil,Milwaukee,Bucks,15.0,2009.0,6.0,2009.0,2009.0,Jodie,193.0,76.0,Norcross,USA,1.0,United States,Norcross HS,GA,Georgia,10.0,Norcross,USA,1.0,United States,GA,Georgia,10.0,True,True,False,Meeks,329862,SG,Det,Detroit,Pistons,8.0,20,95.25,210.0
24.0,1991-12-24,12.0,1991.0,Houston,USA,1.0,United States,TX,Texas,43.0,61.0,Oregon State,Oregon State University,,,,,0,,,,,,,,,,1.0,2014.0,2014.0,Eric,208.0,82.0,,,,,Hightower HS,,,,Houston,USA,1.0,United States,TX,Texas,43.0,True,True,False,Moreland,553542,PF,Sac,Sacramento,Kings,23.0,25,107.95,238.0
9.0,1989-12-09,12.0,1989.0,Birmingham,USA,1.0,United States,AL,Alabama,1.0,69.0,Kentucky,University of Kentucky,,,,,0,,18.0,1.0,18.0,OKC,Oklahoma City,Thunder,25.0,2010.0,5.0,2010.0,2010.0,Eric,185.0,73.0,Birmingham,USA,1.0,United States,Parker HS,AL,Alabama,1.0,Birmingham,USA,1.0,United States,AL,Alabama,1.0,True,True,False,Bledsoe,509449,PG,Pho,Phoenix,Suns,21.0,2,86.18,190.0
6.0,1985-02-06,2.0,1985.0,Minneapolis,USA,1.0,United States,MN,Minnesota,23.0,31.0,Minnesota,University of Minnesota,,,,,0,,14.0,1.0,14.0,Uta,Utah,Jazz,26.0,2004.0,11.0,2004.0,2004.0,Kris,205.0,81.0,Minneapolis,USA,1.0,United States,Hopkins High School,MN,Minnesota,23.0,Chaska,,,,,,,True,True,False,Humphries,229649,PF,Was,Washington,Wizards,27.0,43,106.59,235.0
7.0,1978-07-07,7.0,1978.0,Lola,USA,1.0,United States,TX,Texas,43.0,10156.0,Blinn (TX) JC,,,,,,0,,,,,,,,,,13.0,2001.0,2001.0,Chris,208.0,82.0,Iola,USA,1.0,United States,Iola High School,TX,Texas,43.0,,,,,,,,True,True,False,Andersen,75344,C,Mia,Miami,Heat,14.0,11,111.13,245.0
5.0,1987-11-05,11.0,1987.0,Huntington,USA,1.0,United States,WV,West Virginia,48.0,62.0,USC,University of Southern California,,,,,0,,3.0,1.0,3.0,Min,Minnesota,Timberwolves,16.0,2008.0,7.0,2008.0,2008.0,O.J.,195.0,77.0,Huntington,USA,1.0,United States,Huntington HS,WV,West Virginia,48.0,Huntington,USA,1.0,United States,WV,West Virginia,48.0,True,True,False,Mayo,395372,SG,Mil,Milwaukee,Bucks,15.0,3,95.25,210.0
8.0,1994-07-08,7.0,1994.0,Atlanta,USA,1.0,United States,GA,Georgia,10.0,64.0,UCLA,University of California at Los Angeles,,,,,0,,22.0,1.0,22.0,Mem,Memphis,Grizzlies,29.0,2014.0,1.0,2014.0,2014.0,Jordan,195.0,77.0,Mouth of Wilson,USA,1.0,United States,Oak Hill Academy,VA,Virginia,46.0,Atlanta,USA,1.0,United States,GA,Georgia,10.0,True,True,False,Adams,697719,SG,Mem,Memphis,Grizzlies,29.0,3,94.8,209.0
17.0,1984-04-17,4.0,1984.0,Las Vegas,USA,1.0,United States,NV,Nevada,28.0,71.0,Tennessee,University of Tennessee,,,,,0,,,,,,,,,,8.0,2007.0,2007.0,C.J.,187.0,74.0,,,,,Bishop Gorman HS,,,,Las Vegas,USA,1.0,United States,NV,Nevada,28.0,True,True,False,Watson,174025,PG,Orl,Orlando,Magic,19.0,32,79.38,175.0
4.0,1993-01-04,1.0,1993.0,Norfolk,USA,1.0,United States,VA,Virginia,46.0,6.0,North Carolina,University of North Carolina,,,,,0,,,,,,,,,,1.0,2014.0,2014.0,James Michael,205.0,81.0,,,,,Norfolk Christian HS,,,,Norfolk,USA,1.0,United States,VA,Virginia,46.0,True,True,False,McAdoo,609569,PF,GS,Golden State,Warriors,9.0,20,104.33,230.0
28.0,1990-12-28,12.0,1990.0,Greensoboro,USA,1.0,United States,NC,North Carolina,33.0,6.0,North Carolina,University of North Carolina,,,,,0,,14.0,1.0,14.0,Mil,Milwaukee,Bucks,15.0,2012.0,3.0,2012.0,2012.0,John,210.0,83.0,,,,,Sickles HS,,,,Tampa,USA,1.0,United States,FL,Florida,9.0,True,True,False,Henson,502871,PF,Mil,Milwaukee,Bucks,15.0,31,104.33,230.0
7.0,1992-05-07,5.0,1992.0,Grand Forks,USA,1.0,United States,ND,North Dakota,34.0,90.0,Fresno State,Fresno State University,,,,,0,,,,,,,,,,1.0,2014.0,2014.0,Tyler,193.0,76.0,,,,,St. Francis HS,,,,Mountain View,USA,1.0,United States,CA,California,5.0,True,True,False,Johnson,571786,SG,Mia,Miami,Heat,14.0,8,86.18,190.0
14.0,1988-12-14,12.0,1988.0,Lisieux,FRA,22.0,France,,,,,,,,,,,0,,25.0,1.0,25.0,Hou,Houston,Rockets,10.0,2008.0,7.0,2008.0,2008.0,Nicolas,203.0,80.0,,,,,,,,,,,,,,,,True,True,False,Batum,456451,SG,Cha,Charlotte,Hornets,5312.0,5,90.72,200.0
5.0,1986-11-05,11.0,1986.0,Rouen,FRA,22.0,France,,,,,,,,,,,0,,28.0,1.0,28.0,SA,San Antonio,Spurs,24.0,2005.0,8.0,2007.0,2007.0,Ian,210.0,83.0,,,,,,,,,,,,,,,,True,True,False,Mahinmi,292393,C,Ind,Indiana,Pacers,11.0,28,115.67,255.0
16.0,1987-01-16,1.0,1987.0,Caracas,VEN,42.0,Venezuela,,,,5.0,Maryland,University of Maryland,,,,,0,,28.0,1.0,28.0,Mem,Memphis,Grizzlies,29.0,2010.0,5.0,2010.0,2010.0,Greivis,198.0,78.0,Rockville,USA,1.0,United States,Montrose Christian HS,MD,Maryland,20.0,Caracas,VEN,42.0,Venezuela,,,,True,True,False,Vasquez,332666,PG,Mil,Milwaukee,Bucks,15.0,21,90.72,200.0
3.0,1995-01-03,1.0,1995.0,Chester,USA,1.0,United States,PA,Pennsylvania,38.0,57.0,Arizona,University of Arizona,,,,,0,,23.0,1.0,23.0,Por,Portland,Trail Blazers,22.0,2015.0,,2015.0,2015.0,Rondae,200.0,79.0,,,,,Chester HS,,,,Chester,USA,1.0,United States,PA,Pennsylvania,38.0,True,True,False,Hollis-Jefferson,750654,SG,Bkn,Brooklyn,Nets,17.0,24,95.25,210.0
20.0,1990-09-20,9.0,1990.0,Kaunas,URS,49.0,USSR,,,,,,,,,,,0,,20.0,1.0,20.0,Min,Minnesota,Timberwolves,16.0,2011.0,3.0,2012.0,2012.0,Donatas,213.0,84.0,,,,,,,,,,,,,,,,True,True,False,Motiejunas,599805,PF,Hou,Houston,Rockets,10.0,20,100.7,222.0
28.0,1983-10-28,10.0,1983.0,Baltimore,USA,1.0,United States,MD,Maryland,20.0,4.0,Georgia Tech,Georgia Tech,,,,,0,,22.0,1.0,22.0,Den,Denver,Nuggets,7.0,2005.0,10.0,2005.0,2005.0,Jarrett,190.0,75.0,Worcester,USA,1.0,United States,Worcester Academy,MA,Massachusetts,21.0,Fort Washington,,,,,,,True,True,False,Jack,178537,PG,Bkn,Brooklyn,Nets,17.0,2,90.72,200.0
27.0,1986-07-27,7.0,1986.0,Birmingham,USA,1.0,United States,AL,Alabama,1.0,22.0,Missouri,University of Missouri,,,,,0,,27.0,1.0,27.0,Mem,Memphis,Grizzlies,29.0,2009.0,6.0,2009.0,2009.0,DeMarre,203.0,80.0,Birmingham,USA,1.0,United States,John Carroll HS,AL,Alabama,1.0,Birmingham,USA,1.0,United States,AL,Alabama,1.0,True,True,False,Carroll,262890,SF,Tor,Toronto,Raptors,28.0,5,97.52,215.0
17.0,1991-04-17,4.0,1991.0,New York,USA,1.0,United States,NY,New York,32.0,669.0,Wichita State,Wichita State University,,,,,0,,34.0,2.0,4.0,NY,New York,Knicks,18.0,2014.0,1.0,2014.0,2014.0,Cleanthony,203.0,80.0,,,,,Pine Bush HS,,,,Middletown,USA,1.0,United States,NY,New York,32.0,True,True,False,Early,707829,SF,NY,New York,Knicks,18.0,11,99.79,220.0
13.0,1990-08-13,8.0,1990.0,Mobile,USA,1.0,United States,AL,Alabama,1.0,69.0,Kentucky,University of Kentucky,,,,,0,,5.0,1.0,5.0,Sac,Sacramento,Kings,23.0,2010.0,5.0,2010.0,2010.0,DeMarcus,210.0,83.0,Mobile,USA,1.0,United States,LeFlore HS,AL,Alabama,1.0,Mobile,USA,1.0,United States,AL,Alabama,1.0,True,True,False,Cousins,509450,PF,Sac,Sacramento,Kings,23.0,15,122.47,270.0
6.0,1990-07-06,7.0,1990.0,Villa Rica,USA,1.0,United States,GA,Georgia,10.0,653.0,Marquette,Marquette University,,,,,0,,34.0,2.0,4.0,Cle,Cleveland,Cavaliers,5.0,2012.0,3.0,2012.0,2012.0,Jae,198.0,78.0,,,,,Villa Rica HS,,,,Villa Rica,USA,1.0,United States,GA,Georgia,10.0,True,True,False,Crowder,552381,SF,Bos,Boston,Celtics,2.0,99,106.59,235.0
25.0,1985-02-25,2.0,1985.0,New York,USA,1.0,United States,NY,New York,32.0,67.0,Florida,University of Florida,,,,,0,,9.0,1.0,9.0,Chi,Chicago,Bulls,4.0,2007.0,8.0,2007.0,2007.0,Joakim,210.0,83.0,Lawrenceville,USA,1.0,United States,Lawrenceville Prep,NJ,New Jersey,30.0,New York,USA,1.0,United States,NY,New York,32.0,True,True,False,Noah,263220,C,Chi,Chicago,Bulls,4.0,13,105.23,232.0
16.0,1989-03-16,3.0,1989.0,Oklahoma City,USA,1.0,United States,OK,Oklahoma,36.0,24.0,Oklahoma,University of Oklahoma,,,,,0,,1.0,1.0,1.0,LAC,Los Angeles,Clippers,12.0,2009.0,6.0,2009.0,2010.0,Blake,208.0,82.0,Edmond,USA,1.0,United States,Oklahoma Christian School,OK,Oklahoma,36.0,Oklahoma City,USA,1.0,United States,OK,Oklahoma,36.0,True,True,False,Griffin,399725,PF,LAC,Los Angeles,Clippers,12.0,32,113.85,251.0
9.0,1982-02-09,2.0,1982.0,Chester,USA,1.0,United States,PA,Pennsylvania,38.0,630.0,St. Joseph's,St. Joseph's University (PA),,,,,0,,20.0,1.0,20.0,Den,Denver,Nuggets,7.0,2004.0,11.0,2004.0,2004.0,Jameer,182.0,72.0,Chester,USA,1.0,United States,Chester High School,PA,Pennsylvania,38.0,Chester,,,,,,,True,True,False,Nelson,61934,PG,Den,Denver,Nuggets,7.0,1,90.72,200.0
1.0,1993-01-01,1.0,1993.0,Akron,USA,1.0,United States,OH,Ohio,35.0,96.0,Wyoming,University of Wyoming,,,,,0,,27.0,1.0,27.0,LAL,Los Angeles,Lakers,13.0,2015.0,,2015.0,2015.0,Larry,205.0,81.0,,,,,Revere HS,,,,Akron,USA,1.0,United States,OH,Ohio,35.0,True,True,False,Nance Jr.,603640,PF,LAL,Los Angeles,Lakers,13.0,7,104.33,230.0
11.0,1993-02-11,2.0,1993.0,St. Louis,USA,1.0,United States,MO,Missouri,25.0,20.0,Kansas,University of Kansas,,,,,0,,7.0,1.0,7.0,Sac,Sacramento,Kings,23.0,2013.0,2.0,2013.0,2013.0,Ben,195.0,77.0,,,,,Christian Life Center,,,,St. Louis,USA,1.0,United States,MO,Missouri,25.0,True,True,False,McLemore,604898,SG,Sac,Sacramento,Kings,23.0,23,88.45,195.0
26.0,1984-06-26,6.0,1984.0,Parkersburg,USA,1.0,United States,WV,West Virginia,48.0,26.0,Illinois,University of Illinois,,,,,0,,3.0,1.0,3.0,Uta,Utah,Jazz,26.0,2005.0,10.0,2005.0,2005.0,Deron,190.0,75.0,The Colony,USA,1.0,United States,The Colony High School,TX,Texas,43.0,The Colony,USA,1.0,United States,TX,Texas,43.0,True,True,False,Williams,172537,PG,Dal,Dallas,Mavericks,6.0,8,90.72,200.0
15.0,1986-06-15,6.0,1986.0,Jendouba,TUN,165.0,Tunisia,,,,,,,,,,,0,,,,,,,,,,,2015.0,2015.0,Salah,218.0,86.0,,,,,,,,,,,,,,,,True,True,False,Mejri,555263,C,Dal,Dallas,Mavericks,6.0,50,106.59,235.0
1.0,1985-01-01,1.0,1985.0,Blumenau,BRA,47.0,Brazil,,,,,,,,,,,0,,28.0,1.0,28.0,SA,San Antonio,Spurs,24.0,2007.0,5.0,2010.0,2010.0,Tiago,210.0,83.0,,,,,,,,,,,,,,,,True,False,False,Splitter,393436,C,Atl,Atlanta,Hawks,1.0,11,111.13,245.0
5.0,1992-10-05,10.0,1992.0,Washington,USA,1.0,United States,IN,Indiana,14.0,27.0,Indiana,Indiana University,,,,,0,,4.0,1.0,4.0,Cha,Charlotte,Bobcats,5312.0,2013.0,2.0,2013.0,2013.0,Cody,213.0,84.0,,,,,Washington HS,,,,Washington,USA,1.0,United States,IN,Indiana,14.0,True,True,False,Zeller,602028,C,Cha,Charlotte,Hornets,5312.0,40,108.86,240.0
26.0,1994-01-26,1.0,1994.0,Tarboro,USA,1.0,United States,NC,North Carolina,33.0,100.0,Louisville,University of Louisville,,,,,0,,32.0,2.0,2.0,Hou,Houston,Rockets,10.0,2015.0,,2015.0,2015.0,Montrezl,203.0,80.0,,,,,Hargrave Military Academy,,,,Tarboro,USA,1.0,United States,NC,North Carolina,33.0,True,True,False,Harrell,698651,PF,Hou,Houston,Rockets,10.0,35,108.86,240.0
21.0,1986-04-21,4.0,1986.0,Seattle,USA,1.0,United States,WA,Washington,47.0,113.0,Eastern Washington,Eastern Washington University,,,,,0,,15.0,1.0,15.0,Det,Detroit,Pistons,8.0,2007.0,8.0,2007.0,2007.0,Rodney,195.0,77.0,Kent,USA,1.0,United States,Kentwood HS,WA,Washington,47.0,Kent,USA,1.0,United States,WA,Washington,47.0,True,True,False,Stuckey,278110,SG,Ind,Indiana,Pacers,11.0,2,95.25,210.0
25.0,1988-12-25,12.0,1988.0,Indianapolis,USA,1.0,United States,IN,Indiana,14.0,27.0,Indiana,Indiana University,,,,,0,,7.0,1.0,7.0,LAC,Los Angeles,Clippers,12.0,2008.0,7.0,2008.0,2008.0,Eric,193.0,76.0,Indianapolis,USA,1.0,United States,North Central HS,IN,Indiana,14.0,Indianapolis,USA,1.0,United States,IN,Indiana,14.0,True,True,False,Gordon,401085,SG,NO,New Orleans,Pelicans,3.0,10,97.52,215.0
9.0,1994-07-09,7.0,1994.0,Dallas,USA,1.0,United States,TX,Texas,43.0,76.0,LSU,Louisiana State University,,,,,0,,33.0,2.0,3.0,Bos,Boston,Celtics,2.0,2015.0,,2015.0,2015.0,Jordan,203.0,80.0,,,,,Prime Prep Academy,,,,Dallas,USA,1.0,United States,TX,Texas,43.0,True,True,False,Mickey,745825,PF,Bos,Boston,Celtics,2.0,55,106.59,235.0
2.0,1991-12-02,12.0,1991.0,Miami,USA,1.0,United States,FL,Florida,9.0,69.0,Kentucky,University of Kentucky,,,,,0,,8.0,1.0,8.0,Det,Detroit,Pistons,8.0,2011.0,4.0,2011.0,2011.0,Brandon,190.0,75.0,Fort Lauderdale,USA,1.0,United States,Pine Crest School,FL,Florida,9.0,Ft. Lauderdale,USA,1.0,United States,FL,Florida,9.0,True,True,False,Knight,553575,PG,Pho,Phoenix,Suns,21.0,3,85.73,189.0
4.0,1991-12-04,12.0,1991.0,Las Cruces,USA,1.0,United States,NM,New Mexico,31.0,18.0,Colorado,University of Colorado,,,,,0,,26.0,1.0,26.0,Min,Minnesota,Timberwolves,16.0,2013.0,2.0,2013.0,2013.0,Andre,200.0,79.0,,,,,Wagner HS,,,,San Antonio,USA,1.0,United States,TX,Texas,43.0,True,True,False,Roberson,548635,SG,OKC,Oklahoma City,Thunder,25.0,21,95.25,210.0
30.0,1992-05-30,5.0,1992.0,Henrico,USA,1.0,United States,VA,Virginia,46.0,202.0,Connecticut,University of Connecticut,,,,,0,,12.0,1.0,12.0,Hou,Houston,Rockets,10.0,2012.0,3.0,2012.0,2012.0,Jeremy,195.0,77.0,,,,,Norcross HS,,,,Norcross,USA,1.0,United States,GA,Georgia,10.0,True,True,False,Lamb,552980,SG,Cha,Charlotte,Hornets,5312.0,3,83.91,185.0
15.0,1980-09-15,9.0,1980.0,Fort Worth,USA,1.0,United States,TX,Texas,43.0,2.0,Duke,Duke University,,,,,0,,3.0,1.0,3.0,GS,Golden State,Warriors,9.0,2002.0,13.0,2002.0,2002.0,Mike,205.0,81.0,Portland,USA,1.0,United States,Jesuit High School,OR,Oregon,37.0,Lake Oswego,USA,1.0,United States,OR,Oregon,37.0,True,True,False,Dunleavy,168066,SF,Chi,Chicago,Bulls,4.0,34,99.79,220.0
4.0,1991-12-04,12.0,1991.0,Split,CRO,52.0,Croatia,,,,36.0,Wisconsin,University of Wisconsin,,,,,0,,,,,,,,,,,2015.0,2015.0,Duje,205.0,81.0,,,,,Deerfield HS,,,,Deerfield,USA,1.0,United States,IL,Illinois,13.0,True,True,False,Dukan,551959,SF,Sac,Sacramento,Kings,23.0,26,99.79,220.0
20.0,1991-07-20,7.0,1991.0,Grandview,USA,1.0,United States,MO,Missouri,25.0,18.0,Colorado,University of Colorado,,,,,0,,12.0,1.0,12.0,Uta,Utah,Jazz,26.0,2011.0,4.0,2011.0,2011.0,Alec,198.0,78.0,Grandview,USA,1.0,United States,Grandview HS,MO,Missouri,25.0,Grandview,USA,1.0,United States,MO,Missouri,25.0,True,True,False,Burks,512995,SG,Uta,Utah,Jazz,26.0,10,95.71,211.0
19.0,1976-05-19,5.0,1976.0,Mauldin,USA,1.0,United States,SC,South Carolina,40.0,,,,,,,,0,,5.0,1.0,5.0,Min,Minnesota,Timberwolves,16.0,1995.0,20.0,1995.0,1995.0,Kevin,210.0,83.0,Chicago,USA,1.0,United States,Farragut Academy,IL,Illinois,13.0,,,,,,,,True,True,False,Garnett,2989,PF,Min,Minnesota,Timberwolves,16.0,21,114.76,253.0
